5003/56272348/03/000,GEN000056392,15-Mar-2012,Mechanical Breakdown,25894,Paid and closed
5003/56272348/03/000,GEN000056393,6-Mar-2012,Mechanical Breakdown,18100,Paid and closed
5003/56272348/03/000,GEN000054752,15-Feb-2012,Electrical Breakdown,53207,Paid and closed
5003/56272348/03/000,GEN000054752,15-Feb-2012,Electrical Breakdown,36355,Paid and closed
5002/57945069/02/000,GEN000054752,15-Feb-2012,Electrical Breakdown,0,Paid and closed
5003/56272348/03/000,GEN000054488,9-Feb-2012,Electrical Breakdown,149322,Paid and closed
5002/57945069/02/000,GEN000053967,26-Jan-2012,Electrical Breakdown,31100,Paid and closed
5003/56272348/03/000,GEN000054178,25-Jan-2012,Impact Damage,0,Paid and closed
5003/56272348/03/000,GEN000053404,13-Jan-2012,Impact Damage,59715,Paid and closed
5002/57945069/02/000,GEN000053399,5-Jan-2012,Electrical Breakdown,4710,Paid and closed
5002/57945069/02/000,GEN000050967,27-Dec-2011,Electrical Breakdown,19475,Paid and closed
5003/56272348/03/000,GEN000053436,25-Dec-2011,Electrical Breakdown,41420,Paid and closed
5002/57945069/02/000,GEN000051118,24-Dec-2011,Electrical Breakdown,20016,Paid and closed
5003/56272348/03/000,GEN000055114,22-Dec-2011,Impact Damage,23145,Paid and closed
5003/56272348/03/000,GEN000055108,21-Dec-2011,Impact Damage,16192,Paid and closed
5003/56272348/03/000,GEN000055108,21-Dec-2011,Mechanical Breakdown,27760,Paid and closed
5003/56272348/03/000,GEN000055108,21-Dec-2011,Impact Damage,21215,Paid and closed
5003/56272348/03/000,GEN000050963,10-Dec-2011,Mechanical Breakdown,29898,Paid and closed
5003/56272348/03/000,GEN000050963,10-Dec-2011,Mechanical Breakdown,16477,Paid and closed
5002/57945069/02/000,GEN000049291,23-Nov-2011,Electrical Breakdown,342000,Paid and closed
5003/56272348/03/000,GEN000050961,21-Nov-2011,Mechanical Breakdown,15003,Paid and closed
5003/56272348/03/000,GEN000048487,20-Nov-2011,Mechanical Breakdown,41427,Paid and closed
5002/57945069/02/000,GEN000048487,20-Nov-2011,Electrical Breakdown,0,Paid and closed
5002/57945069/02/000,GEN000048487,20-Nov-2011,Mechanical Breakdown,0,Paid and closed
5002/57945069/02/000,GEN000049290,19-Nov-2011,Electrical Breakdown,244530,Paid and closed
5002/57945069/02/000,GEN000049290,19-Nov-2011,Electrical Breakdown,0,Paid and closed
5002/57945069/02/000,GEN000049290,19-Nov-2011,Electrical Breakdown,0,Paid and closed
5003/56272348/03/000,GEN000050407,15-Nov-2011,Mechanical Breakdown,39999,Paid and closed
1001/56866095/03/000,GEN000045607,3-Nov-2011,Accidental Damage,270685,Paid and closed
5003/56272348/03/000,GEN000049906,1-Nov-2011,Mechanical Breakdown,14918,Paid and closed
5002/57945069/02/000,GEN000047852,31-Oct-2011,Mechanical Breakdown,32205,Paid and closed
5003/56272348/03/000,GEN000045476,21-Oct-2011,Mechanical Breakdown,91884,Paid and closed
5003/56272348/03/000,GEN000045480,20-Oct-2011,Mechanical Breakdown,69796,Paid and closed
5003/56272348/03/000,GEN000046042,15-Oct-2011,Mechanical Breakdown,19446,Paid and closed
5003/56272348/03/000,GEN000048518,7-Oct-2011,Mechanical Breakdown,29320,Paid and closed
5003/56272348/03/000,GEN000045274,26-Sep-2011,Mechanical Breakdown,29234,Paid and closed
5002/57945069/02/000,GEN000045479,25-Sep-2011,Mechanical Breakdown,67430,Paid and closed
5002/57945069/02/000,GEN000045483,24-Sep-2011,Mechanical Breakdown,41895,Paid and closed
5003/56272348/03/000,GEN000045483,24-Sep-2011,Fire,0,Paid and closed
5003/56272348/03/000,GEN000044737,21-Sep-2011,Mechanical Breakdown,29514,Paid and closed
5002/57945069/02/000,GEN000042632,20-Sep-2011,Mechanical Breakdown,30210,Paid and closed
5003/56272348/03/000,GEN000048520,16-Sep-2011,Electrical Breakdown,40170,Paid and closed
5002/57945069/02/000,GEN000043199,15-Sep-2011,Mechanical Breakdown,66765,Paid and closed
5002/57945069/02/000,GEN000043199,15-Sep-2011,Mechanical Breakdown,291092,Paid and closed
5003/56272348/03/000,GEN000042633,14-Sep-2011,Mechanical Breakdown,41746,Paid and closed
5002/57945069/02/000,GEN000042625,12-Sep-2011,Mechanical Breakdown,37908,Paid and closed
5002/57945069/02/000,GEN000042625,12-Sep-2011,Mechanical Breakdown,51841,Paid and closed
5003/56272348/03/000,GEN000042608,10-Sep-2011,Mechanical Breakdown,79420,Paid and closed
5003/56272348/03/000,GEN000042535,3-Sep-2011,Mechanical Breakdown,17155,Paid and closed
5003/56272348/03/000,GEN000038197,21-Aug-2011,Electrical Breakdown,61451,Paid and closed
5003/56272348/03/000,GEN000040626,19-Aug-2011,Mechanical Breakdown,62448,Paid and closed
5002/57945069/02/000,GEN000034339,8-Aug-2011,Electrical Breakdown,95476,Paid and closed
5003/56272348/03/000,GEN000034252,5-Aug-2011,Mechanical Breakdown,60922,Paid and closed
5003/56272348/03/000,GEN000034252,5-Aug-2011,Electrical Breakdown,2271,Paid and closed
5003/56272348/03/000,GEN000034337,27-Jul-2011,Electrical Breakdown,35404,Paid and closed
5003/56272348/03/000,GEN000033791,20-Jul-2011,Mechanical Breakdown,26988,Paid and closed
5003/56272348/03/000,GEN000033826,18-Jul-2011,Mechanical Breakdown,18487,Paid and closed
5002/57945069/02/000,GEN000033826,18-Jul-2011,Manufacturing Defect,105038,Paid and closed
5002/57945069/02/000,GEN000033051,17-Jul-2011,Mechanical Breakdown,38232,Paid and closed
5003/56272348/03/000,GEN000033136,15-Jul-2011,Mechanical Breakdown,27019,Paid and closed
5002/57945069/02/000,GEN000032507,11-Jul-2011,Mechanical Breakdown,117682,Paid and closed
5003/56272348/03/000,GEN000033126,9-Jul-2011,Mechanical Breakdown,24753,Paid and closed
5003/56272348/03/000,GEN000032788,7-Jul-2011,Mechanical Breakdown,18470,Paid and closed
5003/56272348/03/000,GEN000032717,5-Jul-2011,Mechanical Breakdown,33603,Paid and closed
5002/57945069/02/000,GEN000032073,30-Jun-2011,Mechanical Breakdown,81557,Paid and closed
5002/57945069/02/000,GEN000032073,30-Jun-2011,Mechanical Breakdown,49217,Paid and closed
5003/56272348/03/000,GEN000032699,29-Jun-2011,Mechanical Breakdown,24250,Paid and closed
5003/56272348/03/000,GEN000031716,25-Jun-2011,Mechanical Breakdown,29009,Paid and closed
5003/56272348/03/000,GEN000031100,21-Jun-2011,Mechanical Breakdown,32862,Paid and closed
5003/56272348/03/000,GEN000032278,19-Jun-2011,Mechanical Breakdown,31971,Paid and closed
5002/57945069/02/000,GEN000031132,16-Jun-2011,Accidental Damage,33881,Paid and closed
5003/56272348/03/000,GEN000031098,13-Jun-2011,Mechanical Breakdown,18403,Paid and closed
5003/56272348/03/000,GEN000031098,13-Jun-2011,Accidental Damage,44185,Paid and closed
5003/56272348/03/000,GEN000031254,12-Jun-2011,Mechanical Breakdown,45996,Paid and closed
5003/56272348/03/000,GEN000032277,10-Jun-2011,Fire,35453,Paid and closed
5002/57945069/02/000,GEN000030475,2-Jun-2011,Mechanical Breakdown,36319,Paid and closed
5003/56272348/03/000,GEN000030475,2-Jun-2011,Mechanical Breakdown,38660,Paid and closed
5003/56272348/03/000,GEN000029996,21-May-2011,Mechanical Breakdown,74148,Paid and closed
5003/56272348/03/000,GEN000029981,17-May-2011,Mechanical Breakdown,80295,Paid and closed
5003/56272348/03/000,GEN000030275,16-May-2011,Mechanical Breakdown,18025,Paid and closed
5003/56272348/03/000,GEN000027942,5-May-2011,Mechanical Breakdown,18997,Paid and closed
5003/56272348/03/000,GEN000027942,5-May-2011,Electrical Breakdown,26118,Paid and closed
5003/56272348/03/000,GEN000028087,1-May-2011,Mechanical Breakdown,42563,Paid and closed
5003/56272348/03/000,GEN000028088,30-Apr-2011,Mechanical Breakdown,40565,Paid and closed
5003/56272348/03/000,GEN000026966,25-Apr-2011,Mechanical Breakdown,42485,Paid and closed
5002/57945069/02/000,GEN000027257,22-Apr-2011,Mechanical Breakdown,41537,Paid and closed
5002/57945069/02/000,GEN000045585,19-Apr-2011,Mechanical Breakdown,66765,Paid and closed
5002/57945069/02/000,GEN000045585,19-Apr-2011,Electrical Breakdown,59093,Paid and closed
5002/57945069/02/000,GEN000027798,16-Apr-2011,Mechanical Breakdown,58418,Paid and closed
5003/56272348/03/000,GEN000027798,16-Apr-2011,Electrical Breakdown,29641,Paid and closed
5002/57945069/02/000,GEN000026982,12-Apr-2011,Electrical Breakdown,59093,Paid and closed
5003/56272348/03/000,GEN000025784,10-Apr-2011,Mechanical Breakdown,109860,Paid and closed
5003/56272348/03/000,GEN000027671,7-Apr-2011,Mechanical Breakdown,52810,Paid and closed